Profondeur,Abies,Juniperus/Thuja,Larix,Picea,Pinus,Tsuga,Acer,Alnus,Betula,Carpinus,Corylus,Fraxinus,Juglans,Populus,Prunus,Quercus,Salix,Tilia,Ulmus,Agoseris,Ambrosia,Artemesia,Asteraceae,Carya,Chenopodiaceae,Cyperaceae,Epilobium,Ericaceae,Galium,Ilex,Liguliflorae,Lycopode,Myrica,Oxyria,Phytolithe,Poaceae,Polygonum spp,Potentille,Primula,Rosaceae,Sarcobatus,Saxifraga,Stachys,Taxus,Thalictrum,Typha l.,Umbelliferae,Aquatics
390,1.827411168,0.913705584,1.827411168,12.18274112,54.82233503,0,0,3.959390863,14.01015228,0,0,0,0,0.609137056,0,0.913705584,0.913705584,0,0.609137056,0,0.913705584,0.913705584,0.304568528,0,0,0.304568528,0,0.609137056,0,0,0,0,0,0,0,1.827411168,0,0,0,0,0,0,0,0,0,0,0.304568528,1.52284264
400,0.619834711,0.929752066,3.099173554,6.818181818,54.54545455,0,0,5.888429752,12.39669421,0,0.309917355,0.619834711,0,0.619834711,0,1.549586777,0.619834711,0,0.619834711,0,1.549586777,2.169421488,0.309917355,0,0.619834711,0.619834711,0,0,0,0,0,0,0,0,0,3.099173554,0,0,0,0,0,0,0,0,0,0,0,0.929752066
410,0,0.32537961,1.301518438,7.15835141,51.40997831,0,0,9.436008677,17.89587852,0,0,0,0,0.976138829,0,2.603036876,0.32537961,0,0,0,1.301518438,1.626898048,0.32537961,0,0,1.301518438,0,0,0,0,0,0,0,0,0,0.976138829,0,0,0,0,0,0,0,0,0,0.32537961,0,0.32537961
420,0.331125828,0,1.655629139,8.278145695,58.94039735,0,0,8.940397351,11.25827815,0,0,0,0,0,0,2.649006623,0.662251656,0,0,0,0.331125828,0.993377483,0.331125828,0,0.331125828,0.993377483,0,0,0,0,0,0,0,0,0,2.317880795,0,0,0,0,0,0,0,0,0,0.331125828,0,0.662251656
430,0.619195046,0,2.786377709,10.21671827,51.39318886,0,0,5.263157895,17.02786378,0,0.309597523,0,0,1.547987616,0,1.238390093,0,0,0.92879257,0,0,0.92879257,1.547987616,0,0,2.167182663,0,0,0,0,0,0,0,0,0,2.476780186,0,0,0,0,0,0,0,0,0,0.309597523,0,1.238390092
440,0,0,1.572327044,5.34591195,54.08805032,0,0,5.34591195,16.98113208,0,0.314465409,0,0,1.257861635,0,1.572327044,0.628930818,0,0.314465409,0,0.628930818,2.51572327,0.628930818,0,0.628930818,0.628930818,0,0,0,0,0,0,0,0.314465409,0,3.773584906,0,0,0,0,0,0,0.314465409,0,0.314465409,0.314465409,0,0.943396227
450,0.938477581,0,2.502606882,11.26173097,52.55474452,0,0,5.318039625,17.20542231,0,0,0.938477581,0,0.625651721,0,1.876955162,0.625651721,0,0,0,0,2.189781022,0.31282586,0,0,0.938477581,0,0.31282586,0,0,0,0,0,0,0,0.938477581,0,0,0,0,0,0,0,0,0,0,0,0.62565172
460,1.372369625,0,1.372369625,8.783165599,53.52241537,0,0,3.84263495,18.6642269,0,0,0.54894785,0,0.54894785,0,0.823421775,0,0,0.823421775,0,1.0978957,1.64684355,1.0978957,0.274473925,0,1.372369625,0,0.274473925,0,0,0,0,0,0,0,1.64684355,0,0,0,0,0,0,0,0,0,0,0,0.274473925
470,1.524390244,0,1.524390244,11.2804878,55.48780488,0,0,1.524390244,17.98780488,0,0,0,0.304878049,1.829268293,0,0.914634146,0,0,0.304878049,0,0.914634146,0.914634146,0.609756098,0,0,0.914634146,0,0.304878049,0,0,0,0,0,0.304878049,0,1.219512195,0,0,0,0,0.304878049,0,0,0,0,0,0,0.304878049
480,0.861244019,0.28708134,2.296650718,8.038277512,52.82296651,0,0,3.157894737,13.77990431,0,0,0.574162679,0.28708134,1.148325359,0,2.009569378,0.28708134,0,1.435406699,0,1.148325359,1.435406699,0.574162679,0,0.574162679,1.722488038,0,0,0,0,0,0.28708134,0,0,0,2.870813397,0,0,0,0,0,0,0,0,0.28708134,0.28708134,0,0
500,0.612870276,0.612870276,0,5.515832482,54.54545455,0,0,7.967313585,16.24106231,0,0,0,0,0.919305414,0,1.532175689,0.612870276,0,0,0,0.306435138,0.919305414,0,0,1.225740552,0.919305414,0,0.306435138,0,0,0,0,0,0.612870276,0,0.306435138,0,0,0,0,0,0,0,0,0,0,0,0
510,0.847457627,0,0.282485876,5.93220339,52.54237288,0,0,4.237288136,17.79661017,0,0,0,0,0.282485876,0,1.129943503,0.282485876,0,0.282485876,0,0.847457627,1.694915254,0.564971751,0,0,0.847457627,0,0,0,0,0,0.564971751,0,0.282485876,0,3.107344633,0,0,0,0,0,0,0,0,0,0.564971751,0,0
520,0.915564598,0.305188199,0.915564598,4.272634791,52.4923703,0,0,5.798575788,17.70091556,0,0,0,0,1.525940997,0,1.831129196,0,0,0.305188199,0,0.305188199,0.915564598,0.305188199,0,0,0.305188199,0,0,0,0,0,0,0,0,0,4.272634791,0,0,0,0,0,0,0.305188199,0,0,0.305188199,0,0.610376399
530,0,0.308959835,1.853759011,3.707518023,50.36045314,0,0,4.943357364,20.39134912,0,0,0,0,0.308959835,0,3.089598352,0.61791967,0,0,0,1.544799176,1.235839341,0.308959835,0,1.235839341,1.235839341,0,0,0,0,0,0.308959835,0,0,0,1.235839341,0,0,0,0,0,0.308959835,0,0,0,0.308959835,0,0.308959835
540,0.543478261,0,2.445652174,5.706521739,47.01086957,0,0.543478261,3.804347826,19.56521739,0,0.27173913,1.086956522,0,1.358695652,0,2.717391304,0,0,0,0,0.815217391,1.630434783,0.543478261,0,0.27173913,1.086956522,0,0.27173913,0,0,0,0,0,0,0,2.989130435,0,0,0,0,0,0,0,0.27173913,0,0.27173913,0,0.27173913
550,0.903614458,0.602409639,0.301204819,0.903614458,41.86746988,0,0,9.036144578,23.79518072,0,0,0.301204819,0,1.506024096,0,3.313253012,0,0,0.903614458,0,1.506024096,1.807228916,0.602409639,0,0.602409639,1.506024096,0,0,0,0,0,0,0,0,0,3.012048193,0,0,0,0,0,0,0,0,0,0,0,0
560,1.169590643,0,0.292397661,5.263157895,50.29239766,0,0,4.385964912,18.12865497,0,0,0,0.292397661,1.169590643,0,3.50877193,0.584795322,0,0.584795322,0,1.169590643,1.169590643,0,0,0,1.461988304,0,0.292397661,0.292397661,0,0,0,0,0,0,2.046783626,0,0,0,0,0.292397661,0,0,0,0,0,0,0.584795322
570,0.850661626,0,1.417769376,1.984877127,56.71077505,0,0,3.686200378,15.87901701,0,0,0.283553875,0.283553875,1.984877127,0,3.119092628,0,0,0.283553875,0,1.134215501,1.417769376,0.283553875,0,0.283553875,1.417769376,0,0,0,0,0,0.283553875,0,0.283553875,0,1.701323251,0,0,0,0,0,0,0,0,0,0.283553875,0,0.56710775
580,0,0,0,5.408271474,45.81124072,0,0,2.226935313,22.58748674,0,0,0.318133616,0,1.272534464,0,5.090137858,0,0,0.318133616,0,0.636267232,1.590668081,1.272534464,0,0.318133616,1.272534464,0,0.636267232,0,0,0,0,0,0,0,3.817603393,0,0,0,0,0,0,0,0,0,0,0.318133616,0.636267232
590,0.317124736,0,0,5.391120507,55.17970402,0,0,3.805496829,21.56448203,0,0,0,0,0.317124736,0,1.268498943,0,0,0.634249471,0,0.317124736,1.902748414,0.634249471,0,0.634249471,0.317124736,0,0,0,0,0,0,0,0,0,1.902748414,0,0,0,0,0,0,0,0,0,0.317124736,0,0.634249471
600,0,0.29211295,0.584225901,2.044790652,51.41187926,0,0,5.550146056,19.57156767,0,0,0,0,2.336903603,0,1.460564752,0,0,0.876338851,0,0.584225901,2.629016553,0.29211295,0,0.29211295,0.29211295,0,0,0,0,0,0,0,0,0,4.965920156,0,0,0,0,0,0,0,0,0,0,0,0.29211295
610,0,0,0.668896321,3.344481605,41.47157191,0,0,11.0367893,22.74247492,0,0,0,0,1.337792642,0,4.013377926,1.337792642,0,0.334448161,0,1.003344482,1.337792642,1.003344482,0,0.334448161,0,0,0,0,0,0,0,0,0,0,2.341137124,0,0,0,0,0,0,0.334448161,0,0,0.334448161,0,0.334448161
620,0,0,0.617283951,3.086419753,55.24691358,0,0,5.864197531,15.74074074,0,0,0,0,0.925925926,0,2.160493827,0,0,0,0,0.925925926,0.925925926,0.308641975,0,0.308641975,1.851851852,0,0,0,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0.308641975,0,0.308641975
630,0,0.320512821,0,1.282051282,58.97435897,0,0,4.807692308,10.8974359,0,0,0,0,0.961538462,0,4.807692308,0.961538462,0,0,0,0,1.602564103,0.961538462,0,1.602564103,0.320512821,0,0,0,0,0,0,0,0.320512821,0,5.448717949,0,0.320512821,0,0,0,0,0,0,0,0.320512821,0,0.961538462
640,0,1.551189245,0,0.930713547,53.36091003,0,0,2.481902792,13.34022751,0,0,0.310237849,0.310237849,1.551189245,0,5.274043433,0.310237849,0,0.930713547,0,1.240951396,1.551189245,0,0,0.620475698,0.930713547,0,0,0,0,0,0,0,0,0,8.066184074,0,0,0,0,0,0,0,0,0.310237849,0.310237849,0,0.310237849
650,0,1.567398119,0.626959248,1.253918495,52.35109718,0,0,5.015673981,14.73354232,0,0,0,0,1.880877743,0,2.194357367,0.626959248,0,0,0,0.626959248,2.507836991,0.940438871,0,0.313479624,0.626959248,0,0,0,0,0,0,0,0,0,7.836990596,0,0,0,0,0,0,0,0,0,0,0,0.313479624
660,0.32537961,1.952277657,0.32537961,0,50.75921909,0,0,6.507592191,15.94360087,0,0,0,0,1.626898048,0.32537961,6.507592191,0,0,0.32537961,0,0,2.603036876,0.32537961,0,0.650759219,1.626898048,0,0,0,0,0,0,0,0,0,3.904555315,0,0,0,0,0,0,0,0,0,0,0,0.65075922
670,0,0.653594771,0.326797386,0.980392157,58.82352942,0,0,2.287581699,7.843137255,0,0,0.326797386,0,0.980392157,0,6.535947712,0,0,0,0,0.980392157,1.307189542,0,0,0.653594771,0.653594771,0,0,0,0,0,0,0,0,0,10.45751634,0,0,0,0,0,0,0,0,0,0,0,0
680,0,0.665926748,0,2.330743618,57.26970033,0,0,1.997780244,9.988901221,0,0,0.665926748,0,0.998890122,0,10.65482797,0,0,0.665926748,0,1.66481687,1.997780244,0.998890122,0,0.665926748,0.665926748,0,0,0,0,0,0,0,0.332963374,0,1.997780244,0,0,0,0,0,0,0,0,0,0.665926748,0,0
690,0,0.340136054,0,0.680272109,55.44217687,0,0,3.401360544,10.54421769,0,0,0.340136054,0.340136054,0,0,12.24489796,0,0,1.360544218,0,2.721088435,2.380952381,0,0,0.680272109,0.680272109,0,0,0,0,0,0,0,0,0,5.442176871,0,0,0,0,0,0,0,0,0,0,0,0.680272109
700,0,1.063829787,0,1.063829787,48.58156029,0,0,2.836879433,9.929078014,0,0,0,0,0,0,12.05673759,1.063829787,0,1.063829787,0,2.482269504,3.191489362,0.354609929,0,2.482269504,0.354609929,0,0,0,0,0,0,0,0,0,9.929078014,0,0,0,0,0,0,0,0,0,0.354609929,0,0.354609929
710,0,0.677966102,0,0,43.38983051,0,0,3.389830508,9.491525424,0,0,0,0,1.016949153,0,11.52542373,0.338983051,0,0.677966102,0,1.355932203,2.372881356,1.355932203,0,2.372881356,0.338983051,0,0,0,0,0,0,0,0,0,15.59322034,0,0,0,0,0,0,0,0,0,0,0,0.677966102
720,0,0,0,3.271537623,57.2519084,0,0,3.271537623,8.178844057,0,0,0,0.327153762,0.654307525,0,7.19738277,0,0,0.327153762,0,1.962922574,1.635768811,0.654307525,0,0.981461287,0.654307525,0,0,0,0,0,0,0,0,0,9.160305344,0,0,0,0,0,0,0,0,0,0.327153762,0,0.327153762
730,0,0,0,0.944386149,49.73767051,0,0,2.518363064,8.814270724,0,0,0.314795383,0,0.629590766,0,9.129066107,0,0,0.944386149,0,1.259181532,2.203567681,0.944386149,0,2.518363064,1.259181532,0,0,0,0,0,0,0,0,0,10.38824764,0,0,0,0,0,0,0,0,0,0.629590766,0,3.462749213
740,0,0.316455696,0,1.265822785,54.74683545,0,0,1.582278481,6.962025316,0,0.316455696,0,0,0.632911392,0,7.911392405,0.949367089,0,0,0,3.797468354,2.215189873,1.265822785,0,0.949367089,0.632911392,0,0,0,0,0,0,0,0,0,4.746835443,0.316455696,0,0,0,0,0,0,0,0,0.949367089,0,3.164556962
750,0,0.327868852,0,0.655737705,44.91803278,0,0,4.590163934,13.7704918,0,0,0,0,0.327868852,0,6.229508197,0.327868852,0,1.639344262,0,2.62295082,4.262295082,0.983606557,0,2.62295082,0.983606557,0,0,0,0,0,0,0,0,0,7.540983607,0,0,0.327868852,0,0.327868852,0,0,0,0.327868852,1.31147541,0,1.967213114
760,0,0.341685649,0,1.708428246,36.90205011,0,0,4.10022779,16.74259681,0,0,0,0,1.025056948,0,10.25056948,0.341685649,0,1.366742597,0,4.783599089,3.758542141,0.683371298,0,1.366742597,1.025056948,0,0,0,0,0,0,0,0,0,8.54214123,0,0,0,0,0,0,0,0,0,0.683371298,0,2.050113895
770,0,0,0,1.525940997,59.51169889,0,0.305188199,0.915564598,4.577822991,0,0,0,0,0.610376399,0,6.714140387,0,0,0,0,3.357070193,1.525940997,1.831129196,0,2.746693795,2.441505595,0,0,0,0,0,0,0,0,0,4.577822991,0,0,0,0,0,0,0,0,0,1.220752798,0,2.441505595
780,0,0,0,1.567398119,62.06896551,0,0,1.880877743,6.896551724,0,0,0.313479624,0,0.626959248,0,6.5830721,1.253918495,0,0.940438871,0,3.134796238,1.880877743,0.626959248,0,2.194357367,1.253918495,0,0,0,0,0,0.313479624,0,0,0,3.761755486,0,0,0,0,0,0,0,0,0,0.940438871,0,0
790,0,0,0,2.95404814,59.73741795,0,0,0.656455142,4.595185996,0,0,0,0,0.328227571,0,7.221006565,0,0,0,0,4.266958425,2.95404814,1.641137856,0,1.312910284,1.641137856,0,0,0,0,0,0,0,0,0,6.236323851,0,0,0,0,0,0,0,0,0,2.297592998,0,1.312910284
800,0,0,0,0.319829424,60.12793177,0,0,0.639658849,7.036247335,0,0,0.319829424,0,0.639658849,0,3.837953092,0,0,0.639658849,0,4.797441365,4.797441365,0.959488273,0,2.23880597,0.639658849,0,0,0,0,0,0,0,0,0,6.71641791,0,0,0,0,0,0,0,0,0,0.959488273,0,0
810,0,0,0,1.789264414,54.57256461,0,0,0.894632207,14.91053678,0,0,0,0,1.789264414,0,1.789264414,0.298210736,0,1.192842942,0,5.069582505,4.174950298,0.894632207,0,2.087475149,0.894632207,0,0,0,0,0.298210736,0,0,0,0,5.367793241,0,0.298210736,0,0,0,0,0,0,0,0.596421471,0,0.298210736
820,0,0.31152648,0,2.180685358,67.28971963,0,0,0.62305296,7.165109034,0,0,0,0,0.31152648,0,1.557632399,0,0,0.31152648,0,6.542056075,0.934579439,0.62305296,0,0.934579439,0.934579439,0,0,0,0,0,0,0,0,0,3.426791277,0,0,0,0,0,0,0,0,0,1.246105919,0,0
830,0.303030303,0,0,4.242424242,56.96969697,0,0,1.212121212,15.45454545,0,0,0.303030303,0,0.303030303,0,1.212121212,0.303030303,0,1.515151515,0,2.424242424,1.515151515,0.303030303,0,1.515151515,1.212121212,0,0,0,0,0,0,0.303030303,0,0,4.848484848,0,0,0,0,0,0,0,0,0.303030303,0.909090909,0,1.212121212
840,0,0,0.308008214,4.620123203,60.06160164,0,0,0.308008214,16.94045175,0,0,0,0,1.232032854,0,0.924024641,0.308008214,0,0.308008214,0,1.232032854,1.848049281,0.924024641,0,1.540041068,2.156057495,0,0,0,0,0,0,0.308008214,0,0,2.772073922,0,0,0,0,0.308008214,0,0,0,0,0.616016427,0,0
850,0,3.024193548,0,0.907258065,53.83064516,0,0,3.024193548,10.58467742,0,0,0,0,0.60483871,0,1.209677419,0,0,0.60483871,0,8.165322581,1.814516129,1.512096774,0,2.721774194,2.116935484,0,0,0,0,0,0,0,0,0,5.443548387,0,0,0,0,0,0,0,0,0,0.907258065,0,0.302419355
860,0,0.920245399,0,3.067484663,71.47239264,0,0,0.306748466,7.975460123,0,0,0,0,0.920245399,0,1.226993865,0,0,0,0,0.613496933,2.45398773,0.613496933,0,1.533742331,1.226993865,0,0,0,0,0,0,0,0,0,2.45398773,0,0,0,0,0,0,0,0,0,0.613496933,0,0
870,0,0,0.29211295,10.22395326,63.97273612,0,0,0,7.887049659,0,0,0,0,0.29211295,0,0.876338851,0,0,0.584225901,0,3.213242454,1.460564752,0.29211295,0,3.213242454,0.584225901,0,0,0,0,0,0,0,0,0,2.044790652,0,0,0,0,0,0,0,0,0,0.584225901,0,0.29211295
880,0,0,0.87124879,5.22749274,63.89157793,0,0,0.290416263,11.03581801,0,0,0,0,0.87124879,0,1.161665053,0.290416263,0,0.580832527,0,0.87124879,1.452081317,0.290416263,0,2.61374637,1.452081317,0,0,0,0,0,0,0.290416263,0,0,2.032913843,0,0,0,0,0,0,0,0,0,1.161665053,0,0.290416263
890,0,0.290979631,0.290979631,5.819592629,66.05237633,0,0,0.290979631,7.274490786,0,0,0,0,1.454898157,0,0.581959263,0,0,0.581959263,0,1.163918526,1.163918526,0.872938894,0,1.745877789,0.290979631,0,0,0,0,0,0,0.290979631,0,0,3.491755577,0,0,0,0,0.581959263,0,0,0,0,0.290979631,0,0
900,0,0,0.881488737,16.74828599,73.75122429,0,0,0,2.056807052,0,0,0,0,0,0,0.293829579,0,0,0.587659158,0,0.587659158,0,0,0,0.293829579,0,0.293829579,0,0,0,0,0,0.293829579,0,0,2.056807052,0,0,0,0,0,0,0,0,0,0,0,0.293829579
920,0,0.584225901,0.29211295,11.39240506,54.91723466,0,0,0,14.31353457,0,0,0,0,0.584225901,0,0,0.584225901,0,2.044790652,0,2.044790652,1.752677702,0.584225901,0,0.876338851,1.460564752,0.29211295,0,0,0,0,0,0.29211295,0,0,3.505355404,0,0,0,0,0.29211295,0,0,0,0,0.584225901,0,0
