Age,Abies,Cupressaceae,Larix,Picea,Pinus,Alnus,Betula,Populus,Quercus,Salix,Ulmus,Ambrosia,Artemisia,Asteraceae,Chenopodium,Cyperaceae,Poaceae,Aquatics
-62,1.418909387,0.710853359,1.248406462,12.67631754,56.01429957,3.228284346,11.6617528,0.385694087,1.374822889,0.526785099,0.294369886,1.237380414,1.713570485,0.558143847,0.990299908,0.466819646,1.461327937,1.020427672
-12,1.0915099,0.910172711,1.150752119,10.69357374,58.49501383,3.325533195,12.13689679,0.404560896,1.248915951,0.460597965,0.21667032,1.421740468,1.860857627,0.512154445,0.809466528,0.570740398,1.794305096,0.886848714
38,0.918815873,1.134484548,1.276717035,10.07393365,58.4055133,3.676746884,12.33074555,0.41861117,1.344748764,0.416004301,0.242350521,1.379021441,2.072084067,0.465576806,0.835986912,0.597897261,1.947974869,0.796409736
88,0.85830859,1.341424557,1.26632146,10.16513156,57.81844018,4.015002106,12.80455356,0.442722501,1.45493937,0.39134307,0.263383911,1.234501718,2.163943455,0.418939109,0.820547379,0.607057008,1.8889177,0.745792277
138,0.880739261,1.322316291,1.28055601,10.13023779,56.98116504,4.638059535,13.32741407,0.447987549,1.622683103,0.366681838,0.223629097,1.053186553,2.190147817,0.328324544,0.845049932,0.627257492,1.743873695,0.695174819
188,0.987759533,1.050772934,1.352260853,9.789217423,55.40270656,6.030881359,14.37732325,0.409277935,1.87946346,0.342020607,0.04203514,0.844372082,2.121513793,0.135097287,0.937219715,0.673219697,1.550288698,0.64455736
238,1.148041867,0.892564288,1.2351673,10.24002588,55.60163341,5.841065116,13.99057975,0.399611035,1.864939561,0.334958712,0.046382189,0.76915847,1.935255096,0.108532915,0.909130572,0.689842342,1.679930191,0.625555601
288,1.339211446,0.7687898,1.146462219,10.81894436,56.25357553,5.278713709,13.14044794,0.375018064,1.773823247,0.342888845,0.100314967,0.714924616,1.741205997,0.108668184,0.883681072,0.677745998,1.940103946,0.633485734
338,1.530381025,0.645015312,1.057757138,11.39786283,56.90551765,4.716362303,12.29031613,0.350425092,1.682706933,0.350818978,0.154247745,0.660690762,1.547156898,0.108803453,0.858231572,0.665649653,2.200277701,0.641415867
388,1.660115104,0.543533672,1.005141762,11.30193004,57.38111624,4.663773882,11.95544908,0.352489616,1.656403491,0.358749111,0.180677933,0.610821555,1.488522697,0.1572479,0.891947968,0.685216614,2.137006575,0.649346
438,1.772521221,0.448339758,0.962705532,11.01565457,57.80697692,4.754964763,11.76591312,0.36207292,1.648380602,0.366679244,0.19935098,0.562183402,1.468082442,0.219318014,0.942352181,0.713714251,1.982507405,0.657276132
488,1.884927339,0.353145845,0.920269302,10.72937911,58.23283759,4.846155645,11.57637717,0.371656224,1.640357713,0.374609377,0.218024027,0.51354525,1.447642187,0.281388127,0.992756393,0.742211888,1.828008235,0.665206265
538,1.898210776,0.36502816,0.877833072,10.40225739,58.44541728,4.990449222,11.54352555,0.381239529,1.645574582,0.38253951,0.236697074,0.504296359,1.452878869,0.34345824,0.995932323,0.770709525,1.712898621,0.673136398
588,1.785338077,0.513189313,0.835396842,10.02314952,58.38654844,5.202328048,11.71009036,0.390822833,1.667642053,0.390469643,0.255370121,0.545179257,1.49079529,0.405528354,0.938999527,0.799207162,1.647921168,0.681066531
638,1.672465377,0.661350465,0.792960612,9.644041657,58.32767961,5.414206874,11.87665517,0.400406137,1.689709523,0.398399776,0.274043168,0.586062154,1.528711711,0.467598467,0.882066731,0.827704799,1.582943716,0.688996664
688,1.463398285,0.826465512,0.859993765,9.864104679,58.16746812,5.281547453,11.72375325,0.38497584,1.787912672,0.406329909,0.312721637,0.568023664,1.492873999,0.464548239,0.812161946,0.795420293,1.724289331,0.696926797
738,1.230282594,0.995819032,0.954394263,10.23396042,57.98192096,5.062753469,11.49098464,0.363292143,1.905149741,0.414260042,0.356401461,0.535254825,1.438597755,0.445217926,0.739014164,0.747940252,1.917215714,0.70485693
788,0.997166904,1.165172552,1.04879476,10.60381617,57.7963738,4.843959486,11.25821604,0.341608447,2.02238681,0.422190174,0.400081284,0.502485987,1.384321511,0.425887613,0.665866382,0.70046021,2.110142097,0.712787063
838,0.764051214,1.334526072,1.143195258,10.97367191,57.61082664,4.625165502,11.02544743,0.31992475,2.139623879,0.430120307,0.443761108,0.469717149,1.330045266,0.4065573,0.5927186,0.652980168,2.30306848,0.720717196
888,0.583858446,1.486033092,1.197273063,11.04290646,57.61941477,4.540201579,10.92175254,0.297590898,2.216538254,0.43805044,0.461668931,0.450848849,1.29937384,0.361922001,0.508566228,0.640109534,2.366256532,0.749789635
938,0.551451205,1.294410228,1.188510805,10.41031643,57.9843692,4.79584517,11.33484515,0.308191652,2.167490714,0.43207294,0.444827592,0.437265932,1.372482857,0.288131495,0.483430298,0.716487658,2.143279083,0.826367173
988,0.532761886,1.029686982,1.204929362,9.778379161,58.07960841,4.994245214,12.02765537,0.374586972,2.073893465,0.403404037,0.452914885,0.42272577,1.466443394,0.246917483,0.46677105,0.828867858,1.898750596,0.913491485
1038,0.5088968,0.774978884,1.218306885,9.308017601,57.96871087,5.18613545,12.63444709,0.446146553,2.005316825,0.374735134,0.466990145,0.403671108,1.542009542,0.249779736,0.45561245,0.945414665,1.772571015,0.980910382
1088,0.474033209,0.541552975,1.225222215,9.181004427,57.41977272,5.364192342,13.05844951,0.528680188,1.989908981,0.346066231,0.493789838,0.375023134,1.578487616,0.346304051,0.456142726,1.070815511,1.897882861,1.00645527
1138,0.439169617,0.308127066,1.232137545,9.053991253,56.87083457,5.542249234,13.48245194,0.611213823,1.974501137,0.317397328,0.520589531,0.346375159,1.61496569,0.442828366,0.456673003,1.196216357,2.023194707,1.032000158
1188,0.404306025,0.074701157,1.239052875,8.926978079,56.32189641,5.720306126,13.90645436,0.693747458,1.959093293,0.288728425,0.547389223,0.317727184,1.651443764,0.539352682,0.457203279,1.321617202,2.148506553,1.057545046
1238,0.369442434,-0.158724752,1.245968204,8.799964904,55.77295826,5.898363018,14.33045679,0.776281093,1.943685449,0.260059522,0.574188916,0.289079209,1.687921839,0.635876997,0.457733555,1.447018048,2.273818399,1.083089934
1288,0.334469325,-0.14980811,1.252883534,8.878558113,55.35631905,5.812004555,14.401763,0.858814728,1.928277606,0.23139062,0.600988609,0.238360589,1.636241054,0.732401312,0.458317926,1.572418894,2.421200345,1.108634823
1338,0.258471211,-0.016048335,1.16281257,8.750436557,55.37139978,5.702021896,14.11908465,0.880557237,1.971915787,0.255216027,0.568214006,0.219019127,1.624311182,0.744882472,0.501677047,1.582555423,2.643316401,1.101741718
1388,0.353798316,0.117711441,1.205787139,9.145476898,54.01831169,5.268099956,15.07694632,0.693145429,1.824167665,0.30374464,0.404045793,0.543018005,1.712778162,0.675057446,0.68014592,1.137973877,2.712306851,1.020778275
1438,0.280693177,0.251471216,1.175696317,8.830335665,53.92951701,5.179048233,15.13365727,0.636019048,1.736640552,0.352273252,0.250626646,0.676546328,1.797638776,0.59731321,0.879513236,0.721343561,2.867377804,0.932674251
1488,-0.083386891,0.385230991,0.980796737,7.341930775,56.06847246,5.680412706,13.51227214,0.817274715,1.813846894,0.400801865,0.152429402,0.437749306,1.853666552,0.526674396,1.059261058,0.501244417,3.205533601,0.859116922
1538,-0.218670142,0.518990766,0.934654039,7.14806879,56.10174241,5.511037998,13.4887591,0.841261989,2.03551604,0.43181219,0.129080909,0.370141254,1.867728481,0.596514434,1.064209954,0.455930703,3.15208383,0.851489987
1588,-0.197030689,0.652750541,1.02491322,7.901235393,54.92741695,4.992713544,14.29417562,0.782726155,2.325522016,0.431678893,0.160026608,0.357041956,1.798490713,0.765115585,0.945431416,0.560328638,2.799029514,0.88230239
1638,-0.078963194,0.871342944,1.1362422,8.22896138,54.4239807,4.549736841,14.51082123,0.718084771,2.398217496,0.431545597,0.18615575,0.348325774,1.737134389,0.804025121,0.812442502,0.564164514,2.81151201,0.873674194
1688,0.111611285,1.166207591,1.270396793,8.135636097,54.70935151,4.186896338,14.00672138,0.646829043,2.235493271,0.4314123,0.207066955,0.333707935,1.675956208,0.702435406,0.68470032,0.459058159,3.211232705,0.822318685
1738,0.302185764,1.461072238,1.404551387,8.042310813,54.99472232,3.824055836,13.50262154,0.575573314,2.072769045,0.431279003,0.22797816,0.319090096,1.614778027,0.600845691,0.556958138,0.353951804,3.610953399,0.770963175
1788,0.67323883,1.685730695,1.308297113,7.70685298,54.62678321,3.845182544,14.07584892,0.516977941,1.951703624,0.431145707,0.21643871,0.311144201,1.916867694,0.486821152,0.362003973,0.367156854,3.855612921,0.79280806
1838,1.044291897,1.910389153,1.212042839,7.371395146,54.25884409,3.866309253,14.64907631,0.458382567,1.830638202,0.43101241,0.20489926,0.303198306,2.218957361,0.372796613,0.167049807,0.380361904,4.100272443,0.814652946
1888,1.283280888,1.915738673,1.156707955,7.452386899,54.09692942,4.078644094,14.75112284,0.467708553,1.748034682,0.430879113,0.182379439,0.233869131,2.331148381,0.297698832,0.155883161,0.39357083,3.969934731,0.834516825
1938,1.48978024,1.944654781,1.131641582,7.850849426,53.88828816,4.161998212,14.65618159,0.589899435,1.753364119,0.413914573,0.166169291,0.231850462,2.063480656,0.309315759,0.198109348,0.416460093,3.590396195,0.843755833
1988,1.725592487,1.97357089,0.914978026,7.696804182,53.86884603,4.037660982,14.75987724,0.722830961,1.599307101,0.308586,0.277140469,0.406565457,1.730163631,0.442746491,0.26181122,0.490137938,3.407839167,0.814183146
2038,1.921354497,1.993855695,0.740404299,7.568377428,54.06011768,3.86794808,14.85821432,0.847896002,1.449540633,0.222216571,0.353940698,0.538487703,1.446579364,0.539219158,0.312775937,0.542398473,3.192567959,0.783308207
2088,1.913229496,1.968826161,0.760263727,7.47704804,55.34239522,3.470962004,14.97137167,0.906853651,1.298476836,0.222216571,0.278065251,0.472171836,1.425931295,0.467025924,0.296870585,0.499641169,2.8281955,0.737655532
2138,1.905104495,1.943796626,0.780123155,7.385718653,56.62467276,3.073975927,15.08452902,0.965811301,1.14741304,0.222216571,0.202189805,0.405855969,1.405283226,0.394832691,0.280965233,0.456883865,2.463823042,0.692002857
2188,1.902125495,1.778009871,0.869779383,6.996168913,57.24020083,3.149892901,14.7110464,0.782842626,1.184802583,0.255370321,0.323007211,0.509644061,1.46189677,0.380784417,0.302678259,0.565799882,2.573445885,0.560442001
2238,1.91802587,1.594631179,0.997565909,6.737024683,56.71628272,3.514128868,14.15513719,0.64102401,1.365727095,0.293045038,0.50003993,0.662573314,1.481084629,0.36395597,0.369850657,0.723316707,3.109693576,0.446586772
2288,1.970176785,1.424933523,1.039375769,6.71651011,55.05019337,4.275285939,13.73948323,0.615179908,1.624420313,0.330384251,0.609079835,0.797615186,1.401485847,0.313102299,0.489656456,0.849567177,3.919031802,0.387003769
2338,2.061305351,1.254584597,0.843599914,6.789337878,53.74293955,5.252415176,13.871217,0.631293361,1.752794657,0.367072195,0.513514302,0.849843166,1.238421901,0.22265727,0.608159715,0.846150043,4.394748257,0.353827526
2388,2.036339684,1.227295646,0.647824059,6.671960242,52.38266725,6.204699734,14.08381791,0.647406815,1.869174723,0.403760138,0.41794877,0.867889328,1.087780019,0.132212241,0.718492868,0.84273291,4.842535219,0.32397358
2438,1.743896061,1.62760477,0.645330646,6.617274274,50.93968369,6.446195715,14.79014905,0.600762498,1.871058247,0.420316028,0.213017893,0.761715518,1.150022534,0.161052558,0.688445548,0.813746247,4.953942342,0.256388668
2488,1.512449747,1.986430704,0.850271936,6.986833318,49.39937974,6.08511607,15.50669457,0.524657045,1.855659086,0.404024884,0.041478636,0.70423023,1.33069508,0.283308435,0.5481498,0.813529537,5.154242187,0.168124509
2538,1.279575607,2.345256638,0.711172079,6.806187842,50.11508951,5.710431767,15.49492112,0.378450256,1.808908389,0.38773374,0.222004245,0.689152764,1.24269058,0.326365271,0.449459502,0.629274507,4.897225015,0.120663429
2588,1.046506764,2.704082572,0.52515752,6.550514476,51.13843752,5.333892283,15.38383145,0.222684195,1.757882482,0.371442596,0.450538698,0.679858183,1.118048302,0.358622236,0.356442674,0.419923344,4.577846433,0.078766405
2638,0.691533319,3.062908506,0.428528474,6.27558451,48.54526317,5.691495666,16.69553653,0.333746494,1.832451316,0.355151452,0.395558613,0.644925741,1.301559403,0.368907341,0.333031568,0.384203275,4.773721237,0.036869381
2688,0.354183552,3.349538551,0.351520638,6.045291983,45.21467414,6.220456425,18.31195936,0.503380872,1.934589726,0.338860308,0.27834363,0.609034015,1.552713929,0.374369355,0.333449198,0.386597349,5.072929634,0.01098886
2738,0.37481417,3.106732076,0.319921595,6.096851868,43.31859813,6.570753062,19.40446739,0.593695069,1.992235698,0.322569164,0.231796048,0.614226981,1.713967223,0.369646375,0.360326942,0.379786493,5.332809417,0.102562692
2788,0.495176576,2.900479279,0.460440304,5.796586544,44.71242974,6.323501858,18.96132849,0.524890958,1.962221494,0.299886887,0.401717785,0.592909599,1.521322528,0.300232334,0.309931578,0.314365306,5.677449199,0.229770551
2838,0.613580333,2.71663035,0.618318421,5.42913747,46.14200527,6.202007932,18.48561815,0.512512107,1.964833692,0.273287464,0.567158718,0.542051477,1.28625834,0.210936581,0.282503739,0.230887142,6.011302337,0.37881862
2888,0.729406312,2.535288126,0.769661061,5.070253574,47.53554645,6.104388129,18.03300656,0.507798938,1.969845032,0.24668804,0.720936364,0.49617902,1.066395532,0.130500953,0.256388163,0.152465717,6.299942662,0.529120042
2938,0.779001594,2.411823727,0.763329477,4.927058457,48.05567309,6.564389004,18.14680213,0.672576493,2.032447003,0.224815602,0.593340442,0.579261345,1.21858377,0.264681117,0.266964952,0.203405322,5.481924349,0.703636202
2988,0.737138126,2.453568651,0.747535506,4.856385115,48.43467015,6.864243766,18.2094378,0.670769228,2.095178283,0.276185539,0.449015845,0.789510415,1.494238739,0.421548505,0.335675289,0.34633691,4.438177273,0.741292178
3038,0.657176755,2.672050533,0.731741536,4.745179261,48.77458401,7.17930503,18.09707058,0.668961963,2.157909562,0.344985058,0.304691249,1.018433636,1.80724198,0.578415893,0.402867931,0.489268497,3.414838847,0.714882623
3088,0.601401951,2.804803089,0.775876515,4.827099448,49.07458301,6.972662711,17.77399781,0.579644801,2.309562004,0.413784576,0.287346833,1.192400313,1.81663144,0.571652543,0.494247141,0.588093723,3.180590342,0.645608405
3138,0.553265011,2.910483227,0.838936427,4.970006807,49.36197731,6.601271893,17.38438644,0.462692936,2.489294813,0.482584095,0.310101422,1.349012292,1.730142865,0.513216328,0.593264214,0.672990624,3.195528129,0.562797977
3188,0.505128071,3.016163364,0.901996339,5.112914165,49.64937161,6.229881074,16.99477507,0.345741071,2.669027622,0.551383614,0.332856011,1.505624271,1.643654289,0.454780112,0.692281287,0.757887525,3.210465916,0.479987549
3238,0.456991131,3.121843501,0.96505625,5.255821524,49.93676591,5.858490256,16.60516369,0.228789205,2.848760431,0.620183133,0.355610599,1.662236251,1.557165714,0.396343897,0.79129836,0.842784425,3.225403703,0.397177122
3288,0.573364209,3.337732944,1.042245064,5.365021751,49.22492421,5.670780189,16.35097344,0.370252566,2.81156561,0.539967552,0.343198657,1.596454098,1.668134759,0.457813187,0.653744136,0.832835806,3.619247305,0.334428437
3338,0.759488677,3.790567714,0.92845403,4.916087494,47.94731303,6.005835587,16.48950805,0.52437236,2.751537049,0.444443738,0.367796082,1.53711185,1.817513695,0.557538793,0.507076515,0.823731092,4.070331684,0.265724578
3388,0.902033527,4.358803368,0.48238255,3.618854708,46.61000735,7.104399565,17.2306971,0.532756294,2.815951513,0.444443738,0.493851972,1.668119454,1.925742939,0.6276272,0.546576457,0.88469528,4.252949115,0.172263585
3438,1.034752025,4.834852999,0.208734738,3.024537857,46.29713316,7.444414618,17.22067763,0.504917327,2.846420197,0.486740255,0.523925345,1.719044507,1.973586095,0.649389232,0.5158202,0.908655001,4.363902311,0.143028933
3488,1.155935241,5.202684254,0.137497319,3.255383188,47.18685248,6.893959192,16.32880468,0.434555824,2.837039486,0.578689205,0.441323589,1.675959611,1.950541235,0.614420303,0.402589275,0.889174695,4.390727925,0.189190421
3538,1.248324891,5.559443469,0.148894164,3.362141853,48.20991699,6.568669878,15.17317129,0.455796967,2.826284738,0.612650995,0.363795899,1.566284259,1.901477606,0.532174008,0.327220434,0.836231895,4.510847817,0.203280963
3588,1.2213307,5.408983587,0.300153803,3.012747986,50.05935053,6.366494924,14.08772428,0.630550538,2.794890711,0.510779612,0.294916874,1.357867691,1.799803337,0.419945286,0.359990282,0.740923298,4.67837129,0.191746109
3638,1.178463896,5.129860119,0.451413443,2.652780605,52.0991977,6.087255596,13.07030488,0.805304109,2.763496683,0.403090765,0.22603785,1.143218258,1.68566335,0.307716563,0.400200584,0.645614701,4.822075983,0.189368747
3688,1.08280948,4.879443412,0.32316802,2.974091423,52.34823865,5.596275969,13.22834443,0.766662238,2.992448393,0.362999226,0.188218321,0.936852467,1.581058475,0.3028773,0.396556001,0.57548433,5.160844891,0.224470013
3738,0.978561732,4.719931448,0.149421772,3.230696083,52.60562523,4.653792983,14.20374568,0.560870699,3.286519674,0.333911901,0.133208713,0.90207811,1.538084163,0.423464474,0.341546392,0.615710401,5.327383149,0.350217229
3788,0.893562491,4.510922702,0,3.446071792,52.65343876,3.888611509,15.04540315,0.53067973,3.371223093,0.304824575,0.170944687,0.819724718,1.513897218,0.536832998,0.359195322,0.654200884,5.440972753,0.375754709
3838,0.926804077,4.248292441,0,3.318339718,54.11595192,3.559385248,15.08388221,0.681620008,2.774261638,0.27573725,0.329624545,0.70535611,1.518226268,0.509140427,0.476027172,0.632480341,5.171320803,0.286578398
3888,0.960045664,3.992779364,0,3.166360235,55.50805566,3.355673009,15.21445536,0.781415025,2.184957082,0.246649924,0.449576582,0.619408482,1.525157754,0.469324089,0.580195665,0.599667452,4.892195402,0.211636456
3938,0.982545664,3.757743917,0,2.920497964,56.44306115,3.911794797,15.87455933,0.612697423,1.635851248,0.232958669,0.366207562,0.687657301,1.567233731,0.365857972,0.622916767,0.508619753,4.502339096,0.211424951
3988,0.890313351,3.458391373,0.048685492,2.572935347,55.66223668,4.984103495,16.71322426,0.708436586,1.487318336,0.300096786,0.271202256,0.83645755,1.751206725,0.298110414,0.631751057,0.511629597,4.240211661,0.182905114
4038,0.795650246,3.16005311,0.123341215,2.469535189,55.75090247,5.22930134,16.71385394,0.87966818,1.545719108,0.367234903,0.300488647,0.82539214,1.873407227,0.326624604,0.608765068,0.531769771,4.208947391,0.225030771
4088,0.700987141,2.861714846,0.210330526,2.497864296,56.31446261,5.048700721,16.28412362,1.084113345,1.702123925,0.43437302,0.394053864,0.730804587,1.963160527,0.403961494,0.5706816,0.558715747,4.286997454,0.30415719
4138,0.60962742,2.557141249,0.29215951,2.575255279,56.80863369,4.909889988,15.90980754,1.256599901,1.884427654,0.516131822,0.479175013,0.638015261,2.031236798,0.492635328,0.536624733,0.582729771,4.304453324,0.387310211
4188,0.542492504,2.206841865,0.26867412,2.524063604,54.91718085,5.918811701,17.10970757,1.105573036,2.336156352,0.705108978,0.36742905,0.640193559,1.955212064,0.499128249,0.673763115,0.53010613,4.064704625,0.331589321
4238,0.475357588,1.856542481,0.242377399,2.45252319,52.94752922,6.962786469,18.35826781,0.950831575,2.791197533,0.894086133,0.250060422,0.645779383,1.879806659,0.4987329,0.816804282,0.475185127,3.832753962,0.268851666
4288,0.326828655,1.901627541,0.218801321,2.320269474,50.85735904,7.637156336,19.08020849,0.801362926,3.311564459,1.046808705,0.138133082,0.696306225,1.710466829,0.506357496,0.906891526,0.420069156,3.896458654,0.282062486
4338,0.108964078,2.295759453,0.218843619,2.406134344,50.86036747,7.085858845,17.72842895,0.721496578,3.6802958,1.005764179,0.084773319,0.904362162,1.566795297,0.520935165,0.858733923,0.52283989,4.098887999,0.442131194
4388,-0.1089005,2.704257577,0.209883138,2.403886688,52.64368175,5.779795963,15.56429057,0.652154331,3.749771068,0.773508512,0.026709402,1.08454772,1.448014076,0.435405874,0.806074931,0.813587946,4.384534539,0.597698513
4438,-0.326765077,3.136794162,0.159465021,2.290504695,53.41511616,4.879425667,13.69331691,0.624095528,4.191494106,0.73878629,0,1.202546823,1.418593223,0.46397218,0.852879428,0.815874464,4.985816532,0.804652398
4488,-0.382646354,3.434987582,0.073731139,2.013208848,53.46273723,4.632887938,12.99163339,0.677576495,4.716415056,0.841449765,0.046526644,1.041648874,1.533824497,0.534055391,0.952381229,0.558011653,5.593239103,0.906305036
4538,-0.248373321,3.564475492,0,1.796195103,53.28581079,4.52438257,12.79616547,0.740545275,5.114171866,0.878962737,0.108577743,0.882612808,1.736590552,0.575249505,1.054482846,0.339186252,5.992441042,0.874224863
4588,-0.114100289,3.774067143,0,1.760905559,52.12366551,4.318337214,13.4141923,0.855982895,5.240597042,0.738972202,0.260160571,0.953549087,1.853593836,0.445961773,0.907558823,0.361970189,6.213809351,0.701506753
4638,0.020172744,3.983658795,0,1.725616015,50.96152022,4.112291859,14.03221914,0.971420515,5.367022217,0.598981668,0.411743398,1.024485366,1.970597119,0.316674041,0.760634801,0.384754126,6.43517766,0.528788643
4688,0.154445777,4.171513075,0.021191804,1.689305695,49.98273954,3.811282213,14.53747282,1.028297219,5.556191989,0.476278122,0.527987791,1.113221891,2.060700884,0.23092315,0.697347853,0.421985753,6.548506322,0.367849325
4738,0.288718809,4.245246157,0.112692772,1.700847847,49.5555398,3.752065939,14.83310358,0.997303886,5.56183244,0.444331272,0.467409273,1.08783464,2.192297056,0.334572798,0.781640914,0.409652324,6.327453189,0.268484644
4788,0.422991842,4.318979239,0.20419374,1.712389999,49.12834005,3.692849664,15.12873434,0.966310553,5.567472891,0.412384421,0.406830756,1.06244739,2.323893227,0.438222446,0.865933975,0.397318896,6.106400056,0.169119964
4838,0.449549673,4.206995733,0.27984577,1.56277298,49.12738771,3.977952502,15.0792778,0.925495394,5.850784491,0.421425844,0.367872403,1.125534731,2.46688021,0.515561613,1.010928485,0.405979132,5.727305822,0.140027358
4888,0.481263085,4.08854706,0.272290872,1.254452265,49.17285438,4.218448361,14.9342405,0.83311565,6.804312984,0.360318705,0.442419914,1.211233499,2.533500552,0.454770757,1.221710261,0.524856103,5.028450904,0.150640003
4938,0.512976498,4.05193982,0.252051357,0.845427052,49.84403821,5.127202982,13.64106527,0.827521336,6.831999777,0.299211566,0.535643251,1.233766661,2.841028917,0.438024962,1.383315739,0.796293494,4.893510944,0.175499439
4988,0.54468991,4.061368386,0.224676744,0.379755561,50.86718793,6.411853158,11.70206245,0.870743828,6.338900613,0.238104427,0.639371739,1.220769168,3.284068044,0.446054513,1.517259549,1.15354612,5.075773148,0.208372694
5038,0.530885863,3.839747848,0.170382831,0.478495397,50.77361986,5.971579428,11.14718093,0.821877265,6.879047966,0.222216571,0.67136096,1.605884772,3.032275861,0.363829724,1.649505051,1.077151043,5.547788378,0.212036286
